country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter
IND,10,Female,56,Not immigrant,2,10,3,10,1,6.56,3
IND,5,Male,30,Not immigrant,0,6,3,10,1,6.08,3
IND,4,Female,21,Not immigrant,0,5,1,4,1,3.52,2
IND,8,Female,32,Not immigrant,0,7,6,10,1,5.44,1
IND,10,Male,42,Not immigrant,1,2,3,8,1,6.4,3
IND,1,Male,69,Not immigrant,4,1,6,1,4,6.56,3
IND,6,Male,28,Not immigrant,2,10,3,10,1,1.84,1
IND,9,Male,30,Not immigrant,3,9,7,1,1,5.6,1
IND,10,Female,54,Not immigrant,2,10,7,10,1,6.16,3
IND,8,Female,50,Not immigrant,3,9,1,8,1,5.2,3
IND,8,Female,38,Not immigrant,1,6,6,10,2,5.68,1
IND,6,Female,55,Not immigrant,1,6,3,9,1,5.36,3
IND,10,Male,40,Not immigrant,3,3,3,8,2,6.4,3
IND,10,Male,17,Not immigrant,0,4,0,6,1,6.4,3
IND,7,Male,56,Not immigrant,2,5,1,8,4,6.08,1
IND,5,Male,17,Not immigrant,0,5,3,7,3,6.4,0
IND,5,Female,17,Not immigrant,0,4,3,8,1,5.92,0
IND,6,Female,31,Not immigrant,2,1,3,10,1,5.63,3
IND,8,Male,44,Not immigrant,2,6,3,10,3,6.88,3
IND,5,Female,16,Not immigrant,0,5,3,10,1,6.28,3
IND,9,Male,22,Not immigrant,0,6,7,8,2,6.4,3
IND,10,Male,50,Not immigrant,3,1,2,10,1,6.2,3
IND,10,Male,16,Not immigrant,0,1,3,10,1,5.2,0
IND,8,Female,17,Not immigrant,0,7,3,7,1,5.68,0
IND,3,Female,47,Not immigrant,2,6,3,10,1,4.33,3
IND,8,Male,62,Not immigrant,2,3,2,8,3,6.08,2
IND,7,Male,35,Not immigrant,2,2,0,10,2,5.6,3
IND,10,Male,37,Not immigrant,2,10,6,10,1,5.44,3
IND,1,Female,52,Not immigrant,3,5,1,10,1,5.54,3
IND,8,Female,53,Not immigrant,3,9,2,10,4,5.28,1
IND,8,Male,59,Not immigrant,1,7,6,7,3,3.04,3
IND,6,Male,41,Not immigrant,2,7,3,7,1,8.29,3
IND,5,Male,48,Not immigrant,4,3,3,10,1,5.86,3
IND,9,Male,42,Not immigrant,3,8,3,6,4,4.68,2
IND,10,Female,52,Not immigrant,2,7,0,10,1,5.6,3
IND,2,Male,35,Not immigrant,2,4,3,6,2,5.12,3
IND,6,Male,46,Not immigrant,1,5,2,4,1,4.16,2
IND,5,Female,17,Not immigrant,0,5,3,10,1,8.1,0
IND,10,Female,60,Not immigrant,3,1,0,10,3,6.4,3
IND,7,Female,32,Not immigrant,0,6,7,10,1,6.62,2
IND,9,Male,49,Not immigrant,4,9,1,10,3,2.04,3
IND,10,Female,25,Not immigrant,4,5,1,10,2,6.2,3
IND,7,Male,61,Not immigrant,4,8,3,10,1,5.2,3
IND,7,Female,22,Not immigrant,0,7,3,10,3,6.0,1
IND,10,Male,30,Not immigrant,4,3,3,5,1,6.4,3
IND,8,Male,16,Not immigrant,0,3,2,8,1,5.84,0
IND,9,Female,16,Not immigrant,0,6,3,6,3,5.68,0
IND,6,Male,16,Not immigrant,0,3,3,3,2,5.84,1
IND,4,Female,30,Not immigrant,3,2,2,1,3,6.24,1
IND,5,Female,37,Not immigrant,2,5,2,10,4,6.24,3
IND,10,Female,17,Not immigrant,0,6,3,7,1,5.68,1
IND,9,Female,27,Not immigrant,0,9,7,8,1,4.08,1
IND,8,Female,16,Not immigrant,0,5,3,6,1,5.36,1
IND,10,Female,17,Not immigrant,0,8,6,10,2,5.84,2
IND,10,Male,32,Not immigrant,3,6,1,10,1,5.76,3
IND,9,Male,22,Not immigrant,0,8,6,10,1,6.64,3
IND,5,Male,21,Not immigrant,0,6,4,6,1,5.36,3
IND,3,Female,48,Not immigrant,2,1,2,10,1,4.64,3
IND,10,Female,18,Not immigrant,0,5,2,10,3,5.86,1
IND,8,Female,50,Not immigrant,2,5,0,9,3,4.03,1
IND,9,Female,16,Not immigrant,0,7,3,7,1,6.72,0
IND,6,Female,50,Not immigrant,3,8,3,8,2,4.72,3
IND,6,Female,58,Not immigrant,3,10,1,7,3,3.12,1
IND,10,Female,54,Not immigrant,2,6,2,10,4,6.8,3
IND,6,Male,30,Not immigrant,2,5,3,6,3,6.08,3
IND,7,Male,16,Not immigrant,0,8,4,7,3,7.23,0
IND,10,Female,22,Not immigrant,1,1,3,10,3,5.04,3
IND,10,Female,17,Not immigrant,0,7,2,10,4,5.68,1
IND,5,Male,16,Not immigrant,0,4,3,4,1,3.84,2
IND,5,Female,35,Not immigrant,2,5,3,10,1,6.86,3
IND,10,Male,62,Not immigrant,1,2,3,10,2,6.72,3
IND,9,Female,46,Not immigrant,2,5,7,9,1,6.4,3
IND,9,Male,72,Not immigrant,3,7,3,9,1,6.24,3
IND,9,Male,20,Not immigrant,4,10,2,8,1,2.08,1
IND,7,Male,17,Not immigrant,0,9,3,7,1,4.48,1
IND,2,Male,33,Not immigrant,2,2,3,3,2,5.84,1
IND,5,Female,17,Not immigrant,0,10,6,9,1,4.96,2
IND,10,Male,27,Not immigrant,1,5,2,10,1,6.48,3
IND,8,Male,22,Not immigrant,0,8,4,8,3,4.56,1
IND,6,Male,25,Not immigrant,0,4,3,10,2,4.96,3
IND,10,Male,40,Not immigrant,4,3,3,5,1,6.4,3
IND,7,Female,23,Not immigrant,0,7,6,6,4,7.82,2
IND,7,Female,34,Not immigrant,2,5,3,10,1,6.0,3
IND,8,Male,58,Not immigrant,3,8,3,9,1,5.52,3
IND,7,Male,34,Not immigrant,1,4,6,5,3,5.44,3
IND,1,Female,40,Not immigrant,3,1,3,2,4,6.4,1
IND,9,Female,24,Not immigrant,1,6,6,10,1,6.08,3
IND,7,Female,49,Not immigrant,3,5,2,10,1,5.06,3
IND,10,Male,68,Not immigrant,1,9,3,10,1,7.3,1
IND,9,Female,16,Not immigrant,0,5,1,8,3,5.84,0
IND,10,Male,26,Not immigrant,0,7,6,10,2,5.52,1
IND,10,Female,16,Not immigrant,0,8,3,10,3,6.64,1
IND,10,Male,24,Not immigrant,3,1,3,10,1,5.53,3
IND,7,Female,24,Not immigrant,0,6,7,8,2,4.46,3
IND,5,Male,20,Not immigrant,0,8,3,8,1,6.4,0
IND,8,Male,59,Not immigrant,3,5,3,2,2,3.92,3
IND,7,Male,44,Not immigrant,6,8,3,8,1,5.36,2
