country,satisfaction,sex,age,immigrant,children,income_level,education,god_importance,praying_frequency,ethics_score,voter_2
USA,5,Male,33,Not immigrant,0,5,7,5,4,7.65,0
IND,1,Female,40,Not immigrant,3,1,3,2,4,7.21,0
USA,8,Male,35,Not immigrant,3,7,6,8,2,7.96,1
IND,10,Male,30,Not immigrant,1,1,3,10,4,7.21,1
USA,2,Female,41,Not immigrant,6,1,4,10,1,7.77,0
IND,10,Male,68,Not immigrant,1,9,3,10,1,7.91,0
USA,7,Male,27,Immigrant,0,3,8,2,4,7.09,0
IND,7,Female,22,Not immigrant,0,7,3,10,3,6.9,0
IND,10,Male,17,Not immigrant,0,5,3,9,3,5.75,0
USA,6,Female,38,Not immigrant,2,4,6,10,1,7.34,1
IND,5,Male,50,Not immigrant,2,7,6,8,1,7.52,1
USA,9,Female,43,Immigrant,3,4,7,10,1,6.59,0
USA,10,Female,70,Not immigrant,4,1,2,10,1,6.04,1
USA,9,Male,32,Not immigrant,1,5,5,1,4,7.89,0
USA,8,Male,71,Not immigrant,0,4,4,10,1,7.71,1
USA,7,Female,38,Not immigrant,2,6,7,5,3,8.58,1
USA,7,Female,22,Immigrant,0,6,3,6,4,4.98,0
USA,5,Male,48,Not immigrant,1,4,4,10,1,7.77,1
IND,5,Male,16,Not immigrant,0,1,3,10,3,7.21,0
USA,3,Female,45,Not immigrant,2,3,5,1,2,8.56,1
IND,4,Male,49,Not immigrant,4,6,3,4,1,6.1,0
IND,5,Male,16,Not immigrant,0,,3,10,1,10.0,0
IND,8,Male,30,Not immigrant,0,8,6,6,3,3.25,0
IND,8,Male,16,Not immigrant,0,7,3,1,4,6.59,0
IND,7,Female,42,Not immigrant,2,6,3,7,1,6.35,1
USA,7,Female,26,Not immigrant,0,3,4,3,4,8.2,0
IND,7,Female,16,Not immigrant,0,2,3,10,1,6.59,0
IND,10,Female,17,Not immigrant,0,6,3,10,1,7.28,0
IND,2,Male,21,Not immigrant,0,2,3,2,1,6.59,0
IND,8,Female,17,Not immigrant,0,7,3,7,1,7.21,0
USA,5,Male,30,Not immigrant,4,5,5,5,1,7.71,0
USA,7,Female,29,Not immigrant,1,5,3,10,1,6.78,1
IND,5,Female,19,Not immigrant,0,5,4,10,1,6.47,0
USA,7,Male,63,Immigrant,6,5,5,10,1,7.46,1
IND,8,Male,17,Not immigrant,0,4,3,8,3,4.18,0
USA,8,Male,68,Not immigrant,2,7,7,2,3,8.14,1
USA,10,Female,26,Immigrant,0,5,6,10,1,6.35,0
IND,7,Male,26,Not immigrant,2,8,6,7,3,5.54,1
IND,6,Male,17,Not immigrant,0,6,3,8,1,8.59,0
IND,10,Female,17,Not immigrant,0,6,3,7,1,6.66,0
USA,7,Male,56,Not immigrant,2,6,3,10,1,8.58,0
USA,8,Female,27,Not immigrant,0,7,7,1,4,7.34,1
USA,7,Female,24,Not immigrant,0,2,3,1,4,8.02,0
USA,9,Female,51,Not immigrant,3,3,3,10,1,8.2,0
USA,8,Male,53,Not immigrant,2,8,7,1,4,8.64,1
IND,9,Female,35,Not immigrant,3,5,3,10,2,7.45,1
